DNA Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.02675
6,256,640320,662820,0.0895
6,256,1280640,1325640,0.3785
6,256,2561280,2651280,2.2305
6,256,5122560,5302560,9.07225
6,256,10245120,10605120,27.2725

Enzyme Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.022
5,256,320160,388432,0.095
4,256,320160,614496,0.39250000000000007
3,256,320160,1852834,2.04475
2,256,320160,5228202,6.46575
1,256,320160,22205025,20.11

Splice Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.02075
6,512,320160,342930,0.02125
6,1024,320160,365970,0.0225
6,2048,320160,412050,0.022
6,4096,320160,504210,0.02225
6,8192,320160,688530,0.0245
6,16384,320160,1057170,0.027250000000000003
6,32768,320160,1794450,0.036000000000000004
6,65536,320160,3269010,0.053000000000000005
6,131072,320160,6218130,0.0895
6,262144,320160,12116370,0.15425
6,524288,320160,23912850,0.264
6,1048576,320160,47505810,0.487
6,2097152,320160,94691730,1.0052500000000002
6,4194304,320160,189063570,1.9837500000000001
6,8388608,320160,377807250,4.5825
