DNA Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.032
6,256,640320,662820,0.08850000000000001
6,256,1280640,1325640,0.39150000000000007
6,256,2561280,2651280,2.53175
6,256,5122560,5302560,10.75375
6,256,10245120,10605120,27.276

Enzyme Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.0215
5,256,320160,388432,0.09825
4,256,320160,614496,0.39225
3,256,320160,1852834,2.034
2,256,320160,5228202,6.445
1,256,320160,22205025,20.0125

Splice Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.02075
6,512,320160,342930,0.0225
6,1024,320160,365970,0.023
6,2048,320160,412050,0.022
6,4096,320160,504210,0.02375
6,8192,320160,688530,0.02725
6,16384,320160,1057170,0.0345
6,32768,320160,1794450,0.037250000000000005
6,65536,320160,3269010,0.053500000000000006
6,131072,320160,6218130,0.09025
6,262144,320160,12116370,0.155
6,524288,320160,23912850,0.26349999999999996
6,1048576,320160,47505810,0.5952500000000001
6,2097152,320160,94691730,1.01475
6,4194304,320160,189063570,2.0300000000000002
6,8388608,320160,377807250,4.60125
