DNA Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.03025
6,256,640320,662820,0.08325
6,256,1280640,1325640,0.37525
6,256,2561280,2651280,1.7349999999999999
6,256,5122560,5302560,7.356
6,256,10245120,10605120,22.382

Enzyme Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.021249999999999998
5,256,320160,388432,0.09675
4,256,320160,614496,0.38775000000000004
3,256,320160,1852834,2.0294999999999996
2,256,320160,5228202,6.43125
1,256,320160,22205025,19.8725

Splice Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.02075
6,512,320160,342930,0.02125
6,1024,320160,365970,0.02275
6,2048,320160,412050,0.02175
6,4096,320160,504210,0.023
6,8192,320160,688530,0.02475
6,16384,320160,1057170,0.026000000000000002
6,32768,320160,1794450,0.035750000000000004
6,65536,320160,3269010,0.052750000000000005
6,131072,320160,6218130,0.09025
6,262144,320160,12116370,0.15425
6,524288,320160,23912850,0.26325
6,1048576,320160,47505810,0.52
6,2097152,320160,94691730,1.2065000000000001
