DNA Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.0285
6,256,640320,662820,0.08549999999999999
6,256,1280640,1325640,0.37525
6,256,2561280,2651280,1.7305000000000001
6,256,5122560,5302560,7.368499999999999
6,256,10245120,10605120,22.4405

Enzyme Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.02625
5,256,320160,388432,0.0975
4,256,320160,614496,0.4045000000000001
3,256,320160,1852834,2.03475
2,256,320160,5228202,6.452
1,256,320160,22205025,19.3835

Splice Length Experiment
Enzyme length, Splicee length,Original DNA length,Recomb DNA length,Time
6,256,320160,331410,0.02075
6,512,320160,342930,0.022
6,1024,320160,365970,0.02575
6,2048,320160,412050,0.021500000000000002
6,4096,320160,504210,0.02325
6,8192,320160,688530,0.02525
6,16384,320160,1057170,0.02725
6,32768,320160,1794450,0.035750000000000004
6,65536,320160,3269010,0.053750000000000006
6,131072,320160,6218130,0.09025
6,262144,320160,12116370,0.155
6,524288,320160,23912850,0.25725
6,1048576,320160,47505810,0.48424999999999996
6,2097152,320160,94691730,1.194
